0.05,0
0.00,0
0.00,0
0.17,1
-0.02,0
0.00,0
-0.02,0
0.03,0
-0.02,0
-0.16,2
0.00,0
0.03,0
-0.02,0
-0.02,0
0.17,1
0.00,0
0.00,0
-0.17,2
0.00,0
0.21,1
-0.03,0
-0.03,0
-0.14,2
0.00,0
0.00,0
0.21,1
-0.02,0
-0.03,0
-0.16,2
0.00,0
0.16,1
0.00,0
0.00,0
0.00,0
-0.16,2
0.00,0
0.00,0
0.26,3
0.00,0
-0.02,0
-0.24,4
0.00,0
0.00,0
0.26,3
-0.02,0
-0.24,4
0.00,0
0.26,3
0.00,0
-0.26,4
0.00,0
0.26,3
-0.02,0
-0.24,4
-0.02,0
0.03,0
0.24,3
-0.02,0
0.02,0
-0.02,0
-0.02,0
0.03,0
-0.26,4
0.3,3
-0.3,4
0.00,0
0.00,0
0.00,0
-0.02,0
1.12,5
-1.07,6
-0.03,0
0.00,0
0.00,0
0.00,0
1.36,5
-1.36,6
0.00,0
0.00,0
0.95,5
-0.95,6
0.00,0
0.00,0
1.09,5
-0.71,6
0.00,0
0.00,0
0.02,0
5.09,5
-4.37,6
-0.02,0
0.00,0
0.93,5
-0.93,6
0.00,0
0.00,0
0.00,0
0.00,0
